id	type	name	cat	price	delivery	mall	image
NS5640996976	ITEM	오뚜기 진라면 순한맛 120g	식품>가공식품>라면>봉지라면	340	2500	카리부	https://shopping-phinf.pstatic.net/main_5640996/5640996976.20170516174221.jpg?type=f300
NS10299883738	MALL	[오뚜기] 02_ 진라면 순한맛 20봉^02_ 진라면 순한맛 20봉	식품>가공식품>라면>봉지라면	17250	0	위메프	https://shopping-phinf.pstatic.net/main_1029988/10299883738.jpg
NS10304751795	MALL	오뚜기진라면순한맛 5개 120g - 식용유/카놀라유/즉석식품78종	식품>가공식품>라면>봉지라면	2610	2500	티몬	https://shopping-phinf.pstatic.net/main_1030475/10304751795.jpg
NS10336028328	MALL	진라면 순한맛 멀티팩 1박스 120gX40 개입	식품>가공식품>라면>봉지라면	26470	2500	베스트셀링	https://shopping-phinf.pstatic.net/main_1033602/10336028328.1.jpg
NS10340394087	MALL	진라면 순한맛 40봉봉지라면 박스라면 멀티팩	식품>가공식품>라면>봉지라면	25730	3000	G마켓	https://shopping-phinf.pstatic.net/main_1034039/10340394087.jpg
NS10343076360	MALL	진라면 순한맛 40봉봉지라면 박스라면 멀티팩	식품>가공식품>라면>봉지라면	26560	2500	11번가	https://shopping-phinf.pstatic.net/main_1034307/10343076360.jpg
NS10343924611	MALL	진라면 순한맛 5봉 1팩봉지라면 박스라면 멀티팩	식품>가공식품>라면>봉지라면	4460	2500	11번가	https://shopping-phinf.pstatic.net/main_1034392/10343924611.jpg
NS10345234995	MALL	진라면 순한맛 5봉 1팩봉지라면 박스라면 멀티팩	식품>가공식품>라면>봉지라면	4470	3000	G마켓	https://shopping-phinf.pstatic.net/main_1034523/10345234995.jpg
NS10367054117	MALL	[오뚜기] 004_B49_오뚜기 진라면 순한맛 120g	식품>가공식품>라면>봉지라면	590	2500	위메프	https://shopping-phinf.pstatic.net/main_1036705/10367054117.jpg
NS10367054119	MALL	[오뚜기] 60-98 씨리얼/즉석밥/간편식품/라면^98_오뚜기진라면(순한맛)5개입	식품>가공식품>라면>봉지라면	2130	2500	위메프	https://shopping-phinf.pstatic.net/main_1036705/10367054119.jpg
NS10389384699	MALL	[오뚜기] 진라면(순한맛) 40봉	식품>가공식품>라면>봉지라면	23700	0	다이소몰	https://shopping-phinf.pstatic.net/main_1038938/10389384699.jpg
NS10389384701	MALL	[오뚜기] 진라면(순한맛) 20봉	식품>가공식품>라면>봉지라면	13400	0	다이소몰	https://shopping-phinf.pstatic.net/main_1038938/10389384701.jpg
NS10429195671	MALL	오뚜기진라면 순한맛(멀티팩)120gX40개(1박스)	식품>가공식품>라면>봉지라면	37120	2500	11번가	https://shopping-phinf.pstatic.net/main_1042919/10429195671.jpg
NS10480974280	MALL	[오뚜기] 02_오뚜기 진라면 순한맛 40개	식품>가공식품>라면>봉지라면	23800	0	위메프	https://shopping-phinf.pstatic.net/main_1048097/10480974280.jpg
NS10542589149	MALL	오뚜기진라면순한맛 5봉 120g - 인기라면/컵라면 골라담기!	식품>가공식품>라면>봉지라면	2360	2500	티몬	https://shopping-phinf.pstatic.net/main_1054258/10542589149.jpg
NS10573678131	MALL	[오뚜기] 050_오뚜기진라면순한맛 5봉	식품>가공식품>라면>봉지라면	2280	2500	위메프	https://shopping-phinf.pstatic.net/main_1057367/10573678131.jpg
NS10578252528	MALL	[오뚜기] 002_B49_오뚜기 진라면 순한맛 120g	식품>가공식품>라면>봉지라면	480	2500	위메프	https://shopping-phinf.pstatic.net/main_1057825/10578252528.jpg
NS10582859805	MALL	오뚜기 오뚜기 진라면 순한맛 20개입 박스	식품>가공식품>라면>봉지라면	9220	2500	G마켓	https://shopping-phinf.pstatic.net/main_1058285/10582859805.jpg
NS10589116112	MALL	오뚜기 진라면 순한맛 20개입 박스	식품>가공식품>라면>봉지라면	11120	2500	11번가	https://shopping-phinf.pstatic.net/main_1058911/10589116112.jpg
NS10596949276	MALL	[오뚜기] 04_오뚜기 진라면순한맛5봉	식품>가공식품>라면>봉지라면	2890	3000	위메프	https://shopping-phinf.pstatic.net/main_1059694/10596949276.jpg
NS10614757148	MALL	[오뚜기] 30_오뚜기진라면순한맛	식품>가공식품>라면>봉지라면	650	2500	위메프	https://shopping-phinf.pstatic.net/main_1061475/10614757148.jpg
NS10650208256	MALL	[오뚜기] 0002_B49_오뚜기진라면(순)120g X 20	식품>가공식품>라면>봉지라면	7840	2500	위메프	https://shopping-phinf.pstatic.net/main_1065020/10650208256.jpg
NS10669590872	MALL	[오뚜기] 071_봉지)오뚜기진라면순한맛	식품>가공식품>라면>봉지라면	480	2500	위메프	https://shopping-phinf.pstatic.net/main_1066959/10669590872.jpg
NS10672579539	MALL	오뚜기 오뚜기 진라면 순한맛 120g	식품>가공식품>라면>봉지라면	480	2500	옥션	https://shopping-phinf.pstatic.net/main_1067257/10672579539.1.jpg
NS10672581625	MALL	오뚜기 오뚜기 진라면 순한맛 120g 40개입 박스	식품>가공식품>라면>봉지라면	20580	0	옥션	https://shopping-phinf.pstatic.net/main_1067258/10672581625.3.jpg
NS10702953788	MALL	[원하프]멀티)오뚜기 진라면 순한맛 120g * 5개입	식품>가공식품>라면>봉지라면	3030	3000	바이폴	https://shopping-phinf.pstatic.net/main_1070295/10702953788.jpg
NS10705771893	MALL	[카드사 7% 할인][신세계몰]오뚜기 [오뚜기] 진라면 순한맛 멀티팩 (120g x 5개) x8팩 _총 40봉지	식품>가공식품>라면>봉지라면	27500	0	G9	https://shopping-phinf.pstatic.net/main_1070577/10705771893.1.jpg
NS10710059349	MALL	오뚜기 진라면 순한맛 120g 40개 1BOX 가공식품/라면/봉지라면/오뚜기	식품>가공식품>라면>봉지라면	18400	2500	창현물류	https://shopping-phinf.pstatic.net/main_1071005/10710059349.1.jpg
